Date,Region Name,State,Metro,County,City,Size Rank,Zhvi,Mo M,Qo Q,Yo Y,5 Year,10 Year,Peak Month,Peak Quarter,Peak Z H V I,Pct Fall From Peak,Last Time At Curr Z H V I
11/30/2014 12:00:00 AM,North Beacon Hill,WA,Seattle,King,Seattle,893,404300,0.006723107569721,0.012015018773467,0.068446088794926,0.03863158117747,0.028652954642258,11/01/2014 12:00:00 AM,2014-Q4,404300,0,11/01/2014 12:00:00 AM
11/30/2014 12:00:00 AM,First Hill,WA,Seattle,King,Seattle,901,298300,0.006410256410256,0.018088737201365,0.109334325027891,0.028102134341788,0.025676076306752,09/01/2007 12:00:00 AM,2007-Q3,321700,-0.072738576313335,09/01/2006 12:00:00 AM
11/30/2014 12:00:00 AM,Admiral,WA,Seattle,King,Seattle,929,536700,0.010163749294184,0.025214899713467,0.062772277227723,0.033670751736857,0.027419416541346,10/01/2007 12:00:00 AM,2007-Q4,539900,-0.005927023522875,06/01/2007 12:00:00 AM
11/30/2014 12:00:00 AM,Maple Leaf,WA,Seattle,King,Seattle,953,473200,0.008525149190111,0.018729817007535,0.070346075548518,0.039751984044881,0.031743561163069,11/01/2014 12:00:00 AM,2014-Q4,473200,0,11/01/2014 12:00:00 AM
11/30/2014 12:00:00 AM,Bridle Trails,WA,Seattle,King,Bellevue,1014,691500,0.008605600933489,0.018859584499779,0.068118628359592,0.054160705585005,0.039789324753034,11/01/2014 12:00:00 AM,2014-Q4,691500,0,11/01/2014 12:00:00 AM
11/30/2014 12:00:00 AM,Kingsgate,WA,Seattle,King,Kirkland,1041,432400,0.007455731593663,0.020051899032791,0.060843964671246,0.047903126270367,0.034473568668988,09/01/2007 12:00:00 AM,2007-Q3,434300,-0.00437485609026,06/01/2007 12:00:00 AM
11/30/2014 12:00:00 AM,North Queen Anne,WA,Seattle,King,Seattle,1048,662600,0.006531976302598,0.015634580012262,0.072689007608872,0.042775343973394,0.036629015334837,11/01/2014 12:00:00 AM,2014-Q4,662600,0,11/01/2014 12:00:00 AM
11/30/2014 12:00:00 AM,North Juanita,WA,Seattle,King,Kirkland,1119,378400,0.00799147575919,0.021598272138229,0.03956043956044,0.043251909463582,0.029258566055329,11/01/2007 12:00:00 AM,2007-Q4,399200,-0.052104208416834,08/01/2006 12:00:00 AM
11/30/2014 12:00:00 AM,Belltown,WA,Seattle,King,Seattle,1123,378700,0.005309264666844,0.015553767766157,0.124740124740125,0.031819407210105,0.031061757710972,07/01/2007 12:00:00 AM,2007-Q3,401000,-0.055610972568579,09/01/2006 12:00:00 AM
11/30/2014 12:00:00 AM,Holly,WA,Seattle,Snohomish,Everett,1146,254900,0.007509881422925,0.024929634097306,0.07145859604876,0.018917306797476,0.018120127462001,07/01/2007 12:00:00 AM,2007-Q3,296200,-0.139432815665091,12/01/2005 12:00:00 AM
11/30/2014 12:00:00 AM,Phinney Ridge,WA,Seattle,King,Seattle,1153,593200,0.009015138629019,0.01767026934294,0.071531791907514,0.050854993602753,0.035550607496825,11/01/2014 12:00:00 AM,2014-Q4,593200,0,11/01/2014 12:00:00 AM
