Region.Name,City,State,Metro,County.Name,Value,date
Gatewood,Seattle,WA,Seattle,King,4.02817521696082,2024-11-01
Green Lake,Seattle,WA,Seattle,King,2.30613350354819,2015-11-01
Green Lake,Seattle,WA,Seattle,King,3.08622625164087,2019-11-01
Green Lake,Seattle,WA,Seattle,King,4.06134218675672,2024-11-01
Greenwood,Seattle,WA,Seattle,King,1.93664328768438,2015-11-01
Greenwood,Seattle,WA,Seattle,King,2.40120552640241,2019-11-01
Greenwood,Seattle,WA,Seattle,King,2.98190832479995,2024-11-01
Haller Lake,Seattle,WA,Seattle,King,1.21446633430693,2015-11-01
Haller Lake,Seattle,WA,Seattle,King,0.180139897692832,2019-11-01
Haller Lake,Seattle,WA,Seattle,King,-1.11276814807479,2024-11-01
High Point,Seattle,WA,Seattle,King,1.86708474624779,2015-11-01
High Point,Seattle,WA,Seattle,King,2.34206548401779,2019-11-01
High Point,Seattle,WA,Seattle,King,2.93579140623029,2024-11-01
Highland Park,Seattle,WA,Seattle,King,1.87173904326557,2015-11-01
Highland Park,Seattle,WA,Seattle,King,2.4371221667299,2019-11-01
Highland Park,Seattle,WA,Seattle,King,3.14385107106033,2024-11-01
Interbay,Seattle,WA,Seattle,King,1.67867388105738,2015-11-01
Interbay,Seattle,WA,Seattle,King,1.51536305502516,2019-11-01
Interbay,Seattle,WA,Seattle,King,1.31122452248487,2024-11-01
International District,Seattle,WA,Seattle,King,1.92277697147425,2015-11-01
International District,Seattle,WA,Seattle,King,2.26558131728837,2019-11-01
International District,Seattle,WA,Seattle,King,2.69408674955602,2024-11-01
Judkins Park,Seattle,WA,Seattle,King,1.76507976729126,2015-11-01
Judkins Park,Seattle,WA,Seattle,King,1.90801110274034,2019-11-01
Judkins Park,Seattle,WA,Seattle,King,2.08667527205169,2024-11-01
Junction,Seattle,WA,Seattle,King,3.18268797552514,2015-11-01
Junction,Seattle,WA,Seattle,King,6.70411110711728,2019-11-01
Junction,Seattle,WA,Seattle,King,11.1058900216075,2024-11-01
Laurelhurst,Seattle,WA,Seattle,King,1.39964304071584,2015-11-01
Laurelhurst,Seattle,WA,Seattle,King,1.3012455066095,2019-11-01
Laurelhurst,Seattle,WA,Seattle,King,1.17824858897659,2024-11-01
Leschi,Seattle,WA,Seattle,King,1.45259603225942,2015-11-01
Leschi,Seattle,WA,Seattle,King,0.830407337901093,2019-11-01
Leschi,Seattle,WA,Seattle,King,0.0526714699531845,2024-11-01
Lower Queen Anne,Seattle,WA,Seattle,King,2.45736917586635,2015-11-01
Lower Queen Anne,Seattle,WA,Seattle,King,3.08684587933176,2019-11-01
Lower Queen Anne,Seattle,WA,Seattle,King,3.87369175866353,2024-11-01
Loyal Heights,Seattle,WA,Seattle,King,1.95680704102644,2015-11-01
Loyal Heights,Seattle,WA,Seattle,King,2.85246711445322,2019-11-01
Loyal Heights,Seattle,WA,Seattle,King,3.9720422062367,2024-11-01
Madison Park,Seattle,WA,Seattle,King,2.30582257116961,2015-11-01
Madison Park,Seattle,WA,Seattle,King,2.96397038005873,2019-11-01
Madison Park,Seattle,WA,Seattle,King,3.78665514117014,2024-11-01
Madison Valley,Seattle,WA,Seattle,King,2.21699440939622,2015-11-01
Madison Valley,Seattle,WA,Seattle,King,2.6550810251895,2019-11-01
Madison Valley,Seattle,WA,Seattle,King,3.2026892949311,2024-11-01
Madrona,Seattle,WA,Seattle,King,1.83443498424991,2015-11-01
Madrona,Seattle,WA,Seattle,King,2.27221509196741,2019-11-01
Madrona,Seattle,WA,Seattle,King,2.81944022661428,2024-11-01
